title,author,status,engagements,kudos,comments,hits,rating,words,chapters,status_date,additional_tags
<a href='https://archiveofourown.org/works/26282614'>i live for the feeling of you</a>,orphan_account,Completed,1268,1198,70,11589,Teen And Up Audiences,9521,1,2020-09-04,"Alternate Universe - Modern Setting, Alternate Universe - College/University, Tattoo AU, in the sense that Beatrice has a tattoo(s) in this au, and ava is hot for it, who wouldn't be though right, Avatrice, soft babies, soft gfs, beatrice is BEAUTIFUL, Ava is struck by her beauty, useless bi ava"
<a href='https://archiveofourown.org/works/43155180'>lets rest for a while 'til our souls catch us up</a>,the_ominous_owl,Completed,1251,1160,91,8541,Teen And Up Audiences,3613,1,2022-11-19,"Angst with a Happy Ending, look this turned out a lot angstier than i planned, which i probably should've expected given the premise, but i fix it at the end i swear, technically a 5+1? i guess?"
<a href='https://archiveofourown.org/works/43418703'>zoom zoom beep beep crash crash</a>,nirav,Completed,1251,1201,50,7898,Teen And Up Audiences,5929,1,2022-12-05,NA
<a href='https://archiveofourown.org/works/25540291'>give you my best</a>,KelseyO,Completed,1239,1135,104,8543,Teen And Up Audiences,6953,1,2020-07-27,"Post-Finale, Minor Injuries, Hurt/Comfort, Night Terrors, Sister Beatrice Speaking French, Fluff and Angst, Religious Discussion, remember when Warrior Nun destroyed my entire life in a week, and then folklore (2020) destroyed it all over again, I love all of these girls I love them so very much, Beatrice being a gay disaster, Ava trying her very best, things got out of hand so fast!!!, you'll not be getting any apologies from me"
<a href='https://archiveofourown.org/works/29511306'>Caring</a>,puppybusby,Completed,1230,1169,61,13657,Teen And Up Audiences,10366,2,2021-02-19,"Sickfic, Valentine's Day, Found Family, Cuddling & Snuggling, Groping, as a treat"
<a href='https://archiveofourown.org/works/43696726'>party for one (back on my beat)</a>,Care,Completed,1225,1181,44,9559,Mature,3376,1,2022-12-18,"Masturbation, Switzerland era"
<a href='https://archiveofourown.org/works/43423650'>we should weep to be free (do you still see god in me)</a>,pigeonwhispers,Completed,1215,1187,28,6512,Mature,3467,1,2022-12-05,"Reunions, Catholic Guilt, Internalized Homophobia, Hair Washing, Post Season 2, Canon Compliant, (assuming you ignore the time difference between earth and the other realm), rampant personal projection, i guess five years of catholic school was Enough, they are so gentle with each other i can't, also they wanna fuck so bad"
<a href='https://archiveofourown.org/works/43321225'>and the sage always smells so pretty</a>,heartshapedcandy,Completed,1207,1136,71,8487,Teen And Up Audiences,4153,1,2022-11-29,"spent a day googling wildflowers only to make two mentions of them so, pls enjoy it"
<a href='https://archiveofourown.org/works/26341123'>Good Morning</a>,Sappholez,Completed,1196,1149,47,7083,General Audiences,4152,1,2020-09-07,"Sharing a Bed, Internalized Homophobia, But only a little, Mutual Pining, Gay Panic, Spooning, Beatrice's asleep self is a disaster lesbian, Team Bonding, Camila is baby, Post-Season/Series 01, no beta we die like men, Ava is pure of heart dumb of ass, Mary is too tired for this shit, Lilith just wants to have One Night of Rest without these two sapphics being hopeless, Adriel is mentioned but that's about it, a bit of angst a bit of fluff my signature style, Fluff and Angst, Bisexual Ava Silva"
<a href='https://archiveofourown.org/works/28538751'>This will be our year</a>,puppybusby,Completed,1194,1142,52,13998,General Audiences,8382,1,2021-01-04,"New Year's Eve, New Year's Kiss, Fluff, i've accepted that this is just a series of them being CUTE and romantic in the most cheesy way, and i am okay with this, Minor Angst, purely bc Bea is working through a LOT, but it's all happy and nice, we love a couple who can talk about their feelings in a healthy way, they can have a little making out, as a treat"
<a href='https://archiveofourown.org/works/30176586'>hell was the journey (but it brought me heaven)</a>,TheGoatWithAPen,Completed,1194,1165,29,11312,Teen And Up Audiences,12166,2,2021-03-28,"Alternate Universe - Soulmates, Light Angst, Canon Compliant, mostly - Freeform"
<a href='https://archiveofourown.org/works/25787887'>Free Fallin' Into You</a>,orphan_account,Completed,1189,1146,43,8867,Teen And Up Audiences,6382,1,2020-08-08,"Avatrice, Ava is a lovable idiot, Fluff, soft gfs, Ava falling in love with Beatrice"
<a href='https://archiveofourown.org/works/43031952'>All Warrior Nuns Must Die</a>,Jude81,Completed,1184,1119,65,21998,Explicit,11048,1,2022-11-12,"No one is actually dead!, Angst, Fluff, Sex, Oral Sex, Girls Being Girls, doubting faith"
<a href='https://archiveofourown.org/works/43739391'>here is where my love lays</a>,nirav,Completed,1165,1105,60,6970,Mature,8828,1,2022-12-21,NA
<a href='https://archiveofourown.org/works/25272784'>Focus</a>,FreeGrain,Completed,1156,1122,34,7858,General Audiences,2051,1,2020-07-15,"Swimming Pools, First Kiss"
<a href='https://archiveofourown.org/works/44308528'>tell me please all is forgiven (touch me)</a>,paddingtonfan69,Completed,1139,1076,63,6536,Explicit,9470,1,2023-01-15,"throwing my hat into the ring of canon divergent bc they fuck in switzerland, physical touch girlies, no plot just vibes once more"
<a href='https://archiveofourown.org/works/25190797'>By the Light of Day</a>,fembuck,Completed,1136,1100,36,11341,Teen And Up Audiences,1847,1,2020-07-10,"Femslash, Flirting, Fluff, Canon LGBTQ Female Character, Canon Bisexual Character"
"<a href='https://archiveofourown.org/works/43235521'>hook me in tight, hold me all night</a>",that_one_urchin,Completed,1127,1099,28,9241,Not Rated,5907,1,2022-11-26,"Sexual Content, Enthusiastic Consent, Domestic Fluff, Hurt/Comfort, Established Relationship, Gay Panic, Sex Toys"
<a href='https://archiveofourown.org/works/26029327'>Empty Spaces</a>,malloryeatsthekeys,Completed,1126,990,136,15631,Teen And Up Audiences,12076,10,2021-06-13,"Getting Together, alternating pov, Ava POV, Beatrice POV, post S1, Soft Beans, Mutual Pining, Fluff, Mild Angst with a happy ending, probably some swearing, Season 1 Canon Compliant, Epistolary, Confessions, the mildest angst, I promise"
<a href='https://archiveofourown.org/works/26375329'>Together? I don't think so</a>,writerofwrongs,Completed,1118,1061,57,9507,Teen And Up Audiences,5523,3,2020-11-21,NA
<a href='https://archiveofourown.org/works/43062309'>In the Next</a>,nomade13,Completed,1113,1070,43,8672,General Audiences,8163,3,2022-11-14,"Soulmates, Alternate Universe - Soulmates, Soulmate Pain AU, i fucking love soulmates au, Coffee Shops, Jealous Ava, protective beatrice, Barista!Ava, Fighter!Beatrice, underground fighting"
<a href='https://archiveofourown.org/works/25958089'>she pulls me out to sea</a>,Reydar,Completed,1113,1075,38,6810,General Audiences,3859,1,2020-08-17,"Hurt/Comfort, theres only one bed but they both almost died so like not in a sexy way, Post Season 1, recovery scene"
<a href='https://archiveofourown.org/works/43707502'>take it (if she gives you her heart)</a>,cocoa_n_donuts,Completed,1108,1068,40,6063,General Audiences,2598,1,2022-12-19,"it's so fluffy I'm gonna die, Companion Piece, #SaveWarriorNun"
<a href='https://archiveofourown.org/works/25526881'>They were roommates</a>,writerofwrongs,Completed,1107,1062,45,8159,Not Rated,10573,1,2020-07-26,"AU, Warrior Nun AU, Catholic Boarding School, Avatrice"
<a href='https://archiveofourown.org/works/43664019'>A Little Space Between Us Now</a>,shelteredbyshadow,Completed,1101,1078,23,5929,Not Rated,5462,1,2022-12-17,"Angst with a Happy Ending, Misunderstandings, Angst, Internalized Homophobia, Touch-Starved"
<a href='https://archiveofourown.org/works/25284340'>The Counsel of a Trusted Friend</a>,fembuck,Completed,1095,1046,49,10933,Teen And Up Audiences,1848,1,2020-07-15,"Femslash, Canon Lesbian Character, Female Friendship, Awkward Conversations"
<a href='https://archiveofourown.org/works/25230796'>Inches</a>,silverwriter01,Completed,1093,1066,27,8438,General Audiences,5165,1,2020-07-12,NA
<a href='https://archiveofourown.org/works/43005060'>Right where you left me</a>,Ginny_7,Completed,1073,1033,40,8042,General Audiences,4536,1,2022-11-11,"Hurt/Comfort, Canon Compliant, Upto season 2, Fix-It, Angst with a Happy Ending, I fixed it, I reunited them, Pining, this was supposed to be less than 1k, lol let's laugh about that now, no beta we die like mary, too soon?, this is now almost 4k words of Beatrice pining for Ava and then making out for the rest, Title from a Taylor Swift Song, Character Study, Sort Of"
<a href='https://archiveofourown.org/works/25701997'>Just Like Space Invaders</a>,AsamiBlackfyre (CosimaBlackfyre),Completed,1069,1010,59,9912,Teen And Up Audiences,11122,1,2020-08-04,"Canon-Typical Violence, Internalized Lesbophobia, Internalized Biphobia, internalized ableism, Avatrice, Monsters, Necromancy, Alternate Universe - Soulmates, Alternate Universe - Canon Divergence, Fluff and Angst, Emotional Hurt/Comfort, Background Relationships, Post-Season/Series 01, Past Child Abuse"
