title,author,status,engagements,kudos,comments,hits,rating,words,chapters,status_date,additional_tags
"<a href='https://archiveofourown.org/works/43235521'>hook me in tight, hold me all night</a>",that_one_urchin,Completed,1127,1099,28,9241,Not Rated,5907,1,2022-11-26,"Sexual Content, Enthusiastic Consent, Domestic Fluff, Hurt/Comfort, Established Relationship, Gay Panic, Sex Toys"
"<a href='https://archiveofourown.org/works/44051476'>In These Never-Steady Hands, I Declare You Will Be Forever Safe</a>",shelteredbyshadow,Completed,1115,1050,65,9510,Not Rated,17717,6,2023-01-07,"Hurt/Comfort, Blood and Injury, Injury Recovery, Touch-Starved, Canon-Typical Violence, Fluff and Angst, Angst with a Happy Ending, 5+1 Things"
<a href='https://archiveofourown.org/works/43707502'>take it (if she gives you her heart)</a>,cocoa_n_donuts,Completed,1108,1068,40,6063,General Audiences,2598,1,2022-12-19,"it's so fluffy I'm gonna die, Companion Piece, #SaveWarriorNun"
<a href='https://archiveofourown.org/works/43664019'>A Little Space Between Us Now</a>,shelteredbyshadow,Completed,1101,1078,23,5929,Not Rated,5462,1,2022-12-17,"Angst with a Happy Ending, Misunderstandings, Angst, Internalized Homophobia, Touch-Starved"
<a href='https://archiveofourown.org/works/43252419'>Did I Make You Up?</a>,NovelNovelty,Completed,1070,1036,34,9410,Explicit,7945,3,2022-12-07,"Slow Burn, Healing, Eventual Smut, Hurt/Comfort, Emotional Hurt/Comfort, Gay Mess Sister Beatrice (Warrior Nun), Bisexual Ava Silva, Resurrection, Personal Growth, Reunited and It Feels So Good, the girls will be happy in season 3, Sex, Praise Kink"
<a href='https://archiveofourown.org/works/43218816'>Now I lay me down to sleep (I pray the Lord my soul to keep)</a>,karatam,Completed,1050,946,104,7157,Teen And Up Audiences,8213,2,2022-11-23,"Angst with a Happy Ending, Angst, 5+1 Things, with a bonus chapter, Fluff and Angst, Bea is Going Through It"
<a href='https://archiveofourown.org/works/43159473'>interim</a>,poetroe,Completed,1039,1010,29,5855,General Audiences,4595,1,2022-11-19,"Avatrice, Post-Season/Series 01, Pre-Season/Series 02, their time in switzerland basically, Friends to Lovers, Domestic Fluff, Fluff, Minecraft, Slice of Life, Canon Compliant, Couch Cuddles, Sleepy Cuddles, All the cuddles, Forehead Kisses, ava is so far gone, bea is getting there, Developing Relationship, One Shot, Switzerland, sentimental minecraft builds, they live above the bar in this one, Domestic Bliss"
<a href='https://archiveofourown.org/works/43439802'>Badass Nuns + 1 Bomb</a>,slvr_swrd,Completed,1026,986,40,5203,Teen And Up Audiences,5289,1,2022-12-06,"Alternate Universe - College/University, Alternate Universe - No Powers, Fluff and Crack, Crack Kinda Treated Seriously, Implied Sexual Content, Just a lil spicy in the middle but mostly fluff, Soccer AU if you squint"
<a href='https://archiveofourown.org/works/43175886'>everytime we touch</a>,spacemanearthgirl,Completed,1024,991,33,5149,Teen And Up Audiences,2082,1,2022-11-20,"Avatrice, Alternate first kiss, Getting Together, Set mostly during season 2, Ava is in love and struggles to hide it, Beatrice is obviously in love too"
<a href='https://archiveofourown.org/works/43629291'>revelations 3:2</a>,badartndadjokes,Completed,1007,982,25,5814,Mature,4019,1,2022-12-15,"five things plus one, basically ava is gay for 4k words, Fluff, Domestic, lots of talk about light and divinity in regards to your girlfriend"
